total_cycles,user_cycles,segments,depth,pure_prove_duration,children_count,parent_count,receipt_size_kb,seal_size_kb,compression_duration,guest_io_read,guest_dependency_check,guest_severity_check,guest_merkle_io_read,guest_merkle_check,comp_name,cid
524288,405779,1,1,383,27,1,0.2587890625,0.1884765625,0,161434,195317,85,34766,4596,chromadb,QmPuneheayd41xBvfCL2CUwzzbXaFgXSrGyKt7Rd7u5JVD
131072,47263,1,2,227,1,2,0.2587890625,0.1884765625,0,17123,7337,85,11914,1280,deprecation,QmdgmLwR8w616ntsUPW7b1And1Znf96Lk2qmPb69zj1MrS
131072,47273,1,1,186,1,1,0.2587890625,0.1884765625,0,17133,7337,85,11914,1280,cloudevents,QmdBHAM3LaNFViTf8qRiT2HZvF8uXYK6xUL9ZK5ghfXsY1
131072,66600,1,1,196,2,1,0.2587890625,0.1884765625,0,22679,14567,85,17627,2109,faiss-cpu,QmehyQiokzU8VGJkSgrMGSTMbht6QpZbD7zXhBEKXwAPZE
65536,27654,1,7,170,0,2,0.2587890625,0.1884765625,0,11507,105,85,6137,443,pyasn1,QmNehK326MDd7466WaMxyMzAtKJTD8cAuUersJghsq9dDM
131072,47261,1,6,188,1,1,0.2587890625,0.1884765625,0,17121,7337,85,11914,1280,pyasn1-modules,QmWhUd7wJ4xL8irAerScyVW243LSHzrYgHAcq2jsxsMaqb
131072,47245,1,6,223,1,1,0.2587890625,0.1884765625,0,17105,7337,85,11914,1280,rsa,QmNNHVB9W6QGKorir9TTzFPCuBDgvHcPahqddvf92Bgdwq
131072,79416,1,5,202,3,7,0.2587890625,0.1884765625,0,28265,21797,85,17627,2109,google-auth,QmXCYk4foAseTUZ5RhkmtBm6M4MgV6SiNBJnEYFbGMCpbN
131072,79404,1,5,199,3,1,0.2587890625,0.1884765625,0,28253,21797,85,17627,2109,grpcio-status,QmRJzYYqXQv9XsHN6cSAmhKCyECTFu8xr3TXmEFWqg2aSo
131072,47263,1,5,185,1,3,0.2587890625,0.1884765625,0,17123,7337,85,11914,1280,proto-plus,QmRxyoeUtSMiau9YSAMR9XSUAnPrPbgETMhevQEju6xEip
