total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
131072,47589,3,154,1,3,1,454.671875,454.6015625,prompt-toolkit,QmPcSNKRxXMjoHWUiFyRESh3pcgCqFNxticpCESFL8htzA
65536,27779,4,76,0,2,0,216.087890625,216.017578125,asttokens,QmPUrvcCq7RbPvqms3iy41fTgaDN5SGdjQ3m6szT4csyWK
65536,27779,4,76,0,2,0,216.087890625,216.017578125,executing,QmVpdRjG5ZXvMRzvXWQEuRae481JKHr7hJrq9GWwx7oCzL
65536,27779,4,77,0,1,0,216.087890625,216.017578125,pure-eval,QmaiK79fX7EcWyL2jQm29EBjncV98ooXUJU3EoQAx9wsm3
131072,79714,3,304,3,3,3,886.83984375,886.76953125,stack-data,QmZU7dvg7Tb11RXsxRxn6GoBGSYjDzUpaC85oVxyYbSYhu
262144,195193,2,1160,11,1,17,4490.62109375,4490.55078125,ipython,QmRGPfNEHmwYMaFXTuhZgzDnSxgTEbUN8YkvAkfnXyFDWJ
131072,47606,3,145,1,2,1,454.671875,454.6015625,ipython-pygments-lexers,QmdYuS8fSsdw8PaTDm4PXyHjuzYcHdt9MRLZLFJdiQscw3
262144,195193,2,983,11,1,17,4490.62109375,4490.55078125,ipython,QmXnzFkdRX14Q8sFaMqJN4VBBAVvNFyVB48gj2eA4q1QZw
262144,182397,2,675,10,1,16,4274.537109375,4274.466796875,ipython,QmPRmUUotVhMPV9hh587ZGtmB6wRtsqeM6Act5up5eFDXv
65536,27809,5,35,0,3,0,216.087890625,216.017578125,platformdirs,QmRWpTZ5ANTL3XFj91PPdmH67eGsXidGdDrcmYy8V2YDNk
131072,66746,4,98,2,5,2,670.755859375,670.685546875,jupyter-core,QmVNGTihCvsEPypZgaNxmgPZBNB26tJKe7SGpks7ftqVB5
131072,47562,4,232,1,2,2,693.255859375,693.185546875,pyzmq,QmXCgRyXuwbeJ4w3j36HrgLM4FQYTqZL22FXhDduDsKTxE
