total_cycles,user_cycles,depth,verify_duration,children_count,parent_count,descendants_count,receipt_size_kb,seal_size_kb,comp_name,cid
131072,47581,2,76,1,1,5,218.056640625,217.986328125,s3transfer,QmVwatLRgchVza2jDzykB4DURG6swtbDJo6CjDGefQiXZQ
131072,79715,1,76,3,1,6,218.056640625,217.986328125,boto3,QmaGTgXGCgGbtTrKZuCiHo42GiGtCSCSFxiHvebkpFTnxE
65536,27999,3,76,0,1,0,216.087890625,216.017578125,pyproject-hooks,QmefTFF2V897H6RrvceEtc2UWzzDteyGDPNeP1zvTc9okL
65536,27769,3,77,0,4,0,216.087890625,216.017578125,tomli,QmbcbrsHiTApq2TV7pCkk84aSkhGjpThv68ThnWxmCnReJ
262144,111717,2,76,5,1,6,218.056640625,217.986328125,build,QmeZ4UC6Xx6ht1Wz1DN8TtJWiDCPR6RSPPt5XJwp99AcjQ
131072,47572,7,76,1,12,1,218.056640625,217.986328125,grpcio,Qmcausq3CSsriTZRLKc584mZjzA4JQ2KsifMiRNz5UbKY3
65536,28007,2,76,0,1,0,216.087890625,216.017578125,importlib-resources,QmNZ4H7Fr7kmMQdztSJCR5n2UMLLL9PpCt9GCtRTp1xAbd
65536,27972,7,77,0,3,0,216.087890625,216.017578125,attrs,QmbsJ66CxfyYBmYoyDyGBRWSbiDE25hsLWvTq7eHMPuKD5
131072,79734,6,76,3,3,3,218.056640625,217.986328125,referencing,Qmbh2uDHGX7eBjhgq6ECLTmKg2Rwx1N3NK1L6wYTWTF9ug
131072,47400,5,76,1,2,4,218.056640625,217.986328125,jsonschema-specifications,QmUY2jrxQcqX7qeDwNvGQ6JedgsNh8GRzSGLXCoaLxSZWj
262144,99062,4,76,4,6,5,218.056640625,217.986328125,jsonschema,QmenUMyJTy8FD8oNZCJTsHqX9k2CbRbWqGpJXECFMtfoa2
65536,27587,3,76,0,1,0,216.087890625,216.017578125,durationpy,QmYBwfwhwuXSTjboyphSG4QnLEJKJDSUxnQNmujf2i3X1A
65536,27767,4,77,0,1,0,216.087890625,216.017578125,oauthlib,QmNpo6GmFJHzgvFj6bPDWDdesimLHLMTbsm9fk861WJG1g
131072,66758,3,77,2,1,6,218.056640625,217.986328125,requests-oauthlib,QmeVBFEJRdhcD8nQsC3VVaQv53TiVuKgdYsF57QtD7dBBv
65536,27784,3,76,0,1,0,216.087890625,216.017578125,websocket-client,QmWr4b45yawyox3msX6enkFmkXpL7mL8VRmbG8MCsTEGvQ
262144,169600,2,77,9,1,12,218.056640625,217.986328125,kubernetes,QmREfo74ELag1nXYKHCo8oZoRRdH6VJSeSRTNGqKNNtQT9
65536,27792,2,77,0,1,0,216.087890625,216.017578125,mmh3,QmTpdQ8T1fzHoMJizhDYFiLNDViUx53Z13NPSkzccGKg11
65536,27991,5,76,0,1,0,216.087890625,216.017578125,pyreadline3,QmXXAC3XWJVXugNQswegUaXvHfRuhoMRXfmZPqiV3UqSCx
131072,47399,4,78,1,1,1,218.056640625,217.986328125,humanfriendly,QmaaD4sDEexAdZgcd5Xgxb59Cn3EfGZNbfRcrw1m26h5Zn
131072,47591,3,77,1,1,2,218.056640625,217.986328125,coloredlogs,QmcWKFJMRRk5WfnqExwfBJzdvYHrTCLfdizogByk4RU1YN
65536,27764,3,77,0,1,0,216.087890625,216.017578125,flatbuffers,QmUsseacZyNLAxj4bse5FiLpb9bGNHmUBVEX2zKfUMBhLc
65536,27586,7,77,0,14,0,216.087890625,216.017578125,protobuf,QmaHzsdFSYBNmugZZi8fjqq2LrThVjoraLwmjwNnSzBPvL
262144,124680,2,78,6,2,9,218.056640625,217.986328125,onnxruntime,QmNdFAQeEn4qLHnGfSj658KjEq6Niuaq3CabqSJnntg5nq
131072,66557,6,78,2,7,3,218.056640625,217.986328125,googleapis-common-protos,QmeJkx1wDvtkV4sUmicrxz5SNR7iBNfngtiV77PXkL9tJS
131072,47607,4,72,1,3,1,218.056640625,217.986328125,opentelemetry-proto,QmPbY9dBSwwgjDhacPnAFGf7QmpCTRAWRL6HjqMbWcb4gD
131072,47244,3,71,1,2,2,218.056640625,217.986328125,opentelemetry-exporter-otlp-proto-common,QmTPTuCS3vEsTLGGKkiwZcmymyF9VkobqLVWFCmxgSxh3C
262144,137525,2,76,7,1,11,218.056640625,217.986328125,opentelemetry-exporter-otlp-proto-grpc,QmVFCv9qphdFnUnzwS9CZWLusqwULt6pdrjgDwUKzABRFP
65536,27982,2,76,0,2,0,216.087890625,216.017578125,orjson,QmXdQwbyz1ke1TBdpo8XhNpVQV29M72sfHNJ5U9vrCNJRn
65536,27982,3,76,0,1,0,216.087890625,216.017578125,backoff,QmRLUvYcwfJFaDX5QQiy36ih7NFEDZF4WRTkvBzs4DAgaP
262144,111865,2,77,5,1,9,218.056640625,217.986328125,posthog,QmNgCVzkZxyNsLBUbD8GLabcGX8FNfafT2dwvPs2CAdzLE
65536,27767,2,77,0,1,0,216.087890625,216.017578125,pybase64,QmdehjHgbTNxBff2H6qHjCNu5JDxQZUBAGEBngqZdeT2X8
131072,47572,2,77,1,1,1,218.056640625,217.986328125,pypika,QmYsMFjPGmCFp26oHw6BCQphzWresSjYjrFycJLs9zgSxf
131072,47579,4,77,1,1,1,218.056640625,217.986328125,markdown-it-py,QmX2wUVsp5kNCkikujf6N6zru6Lqr4vy6hsg4MM81WTxsV
65536,27586,4,76,0,8,0,216.087890625,216.017578125,pygments,QmVwRaZBQZcoeKeAD6rZN9pBVCRzzaLjxTHZJn6wsbzR4K
131072,66514,3,77,2,2,3,218.056640625,217.986328125,rich,QmVdhnMe5Fq4wSqxFU6PZ3e5Vur8GTujqJz96gvhDnzNcY
65536,27767,3,77,0,3,0,216.087890625,216.017578125,tenacity,QmR2yTVq2rtiWDzR3G9b7qadyDyW6kKq45JF6sCU3xRtpR
